AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
52036,1468753117,241,评论,2024-10-07,2,韩语 流行 ,40,前奏沦陷 | 首尔的风吹不散浪漫,12696691965,https://music.163.com/playlist?id=12696691965
36223,2034261933,639,11,2024-09-23,5,流行 轻音乐 治愈 ,53,INFP丨焦虑是由自由引起的眩晕,12636330404,https://music.163.com/playlist?id=12636330404
115456,2034261933,626,4,2024-08-29,14,日语 地铁 ,82,日系神曲丨通勤路上的孤单调味剂,12528089157,https://music.163.com/playlist?id=12528089157
63511,342371680,334,评论,2024-10-17,3,欧美 R&B/Soul 浪漫 ,47,节奏布鲁斯｜荷尔蒙倾倒 在了浪漫的波光中,12736802737,https://music.163.com/playlist?id=12736802737
53687,312585551,292,评论,2024-09-28,0,电子 驾车 性感 ,105,车载DJ旋律 | 别让欲望击穿你的意志,12654963834,https://music.163.com/playlist?id=12654963834
4597,4000950546,41,1,2024-09-14,1,R&B/Soul 夜晚 浪漫 ,85,日落加州｜顶级浪漫｜在橘子海感受温暖,12599035020,https://music.163.com/playlist?id=12599035020
137888,1402401358,943,22,2024-11-15,20,华语 R&B/Soul ,21,节奏布鲁斯|微醺情愫 忧郁旋律里的浪漫心,12862167421,https://music.163.com/playlist?id=12862167421
100013,1520836115,381,5,2024-11-04,2,网络歌曲 治愈 兴奋 ,77,听泉鉴宝沉淀一下赏宝雅曲bgm.,12819301918,https://music.163.com/playlist?id=12819301918
7537,342371680,47,评论,2024-09-28,1,华语 R&B/Soul 流行 ,88,华语R&B｜回春年代 百听不厌的节奏布鲁斯,12655214309,https://music.163.com/playlist?id=12655214309
13266,7872690377,91,1,2024-10-11,2,华语 R&B/Soul ,50,合伙人精选 | 寂寞的秋天是R&B的季节,12715073725,https://music.163.com/playlist?id=12715073725
53372,1520836115,176,14,2024-09-27,1,华语 R&B/Soul 驾车 ,65,当代律动R&B｜像在海边兜风一样的心旷神怡,12653278982,https://music.163.com/playlist?id=12653278982
338220,79318044,2992,48,2024-09-16,14,古风 驾车 放松 ,60,天下谁人不识君丨古风 x DJ,12607978369,https://music.163.com/playlist?id=12607978369
6416,380154710,40,评论,2024-09-09,0,欧美 流行 R&B/Soul ,46,氤氲之息 | 野香繁作 芬芳满径醉芳华,12578238229,https://music.163.com/playlist?id=12578238229
262952,9059054807,2519,17,2024-07-17,31,电子 驾车 性感 ,206,"Phonk致幻着迷, 沉浸黑色浪漫",12320175174,https://music.163.com/playlist?id=12320175174
14992,8376551360,95,2,2024-09-11,2,另类/独立 轻音乐 孤独 ,37,梦核｜睡眠是小型死亡 活着是漫长的失眠,12585298860,https://music.163.com/playlist?id=12585298860
11040,380154710,45,评论,2024-08-27,0,R&B/Soul 华语 放松 ,99,『旋律R&B』南风未起 念你成疾,12521787569,https://music.163.com/playlist?id=12521787569
18440,1520836115,130,1,2024-10-19,3,粤语 R&B/Soul 放松 ,37,醇正粤语RNB：当代年轻人的浪漫花园,12745360091,https://music.163.com/playlist?id=12745360091
8050,468356020,44,评论,2024-10-29,2,韩语 流行 兴奋 ,76,运动状态开启｜Kpop高燃活力100%,12788239015,https://music.163.com/playlist?id=12788239015
125402,1411918350,2475,92,2024-09-16,89,欧美 说唱 R&B/Soul ,81,Kanye West 9月15日海口试听会演出歌单,12604974480,https://music.163.com/playlist?id=12604974480
